month,date,worldGdp,worldPopulation,countriesInDebt,medianLegitimacy,medianStability,medianInfrastructure,activeWars,totalFlips,rivalPairs,allyRecords,llmActionsApplied,llmActionsRejected,llmSeconds
0,1946-01-01,549437244724,2294863082,0,46.1,40.94,0.317,0,0,0,0,0,0,0
1,1946-02-01,552277475965,2297560620,0,46.1,41.2,0.3163,0,0,0,0,3,0,9.2
2,1946-03-01,555002035436,2299827251,18,46.1,41.38,0.3176,0,0,0,0,6,0,9.9
3,1946-04-01,557750719832,2302203352,20,46.1,41.45,0.3187,0,0,0,0,5,0,9.2
4,1946-05-01,560522257616,2304667880,20,46.1,41.5,0.3189,0,0,0,0,5,0,8.6
5,1946-06-01,563315145136,2307223241,20,46.1,41.51,0.3194,0,0,0,0,7,0,10.2
6,1946-07-01,566127692592,2309841863,21,46.1,41.38,0.3202,0,0,6,0,5,0,10.3
7,1946-08-01,568958888743,2312520884,21,46.1,41.27,0.3199,0,0,27,0,6,0,10.1
8,1946-09-01,571807305744,2315256351,21,46.1,41.16,0.3206,0,0,39,0,4,0,8.1
9,1946-10-01,574672211377,2318044324,21,46.1,41.2,0.3213,0,0,50,0,4,1,8.6
10,1946-11-01,577553000763,2320879365,21,46.1,41.39,0.3221,0,0,51,0,6,0,10.3
11,1946-12-01,580449748882,2323748006,22,46.1,41.55,0.3226,0,0,53,0,4,0,8.8
12,1947-01-01,583364678626,2326647528,22,46.1,41.5,0.3229,0,0,56,0,4,0,9.7
13,1947-02-01,586297267309,2329577101,22,46.1,41.42,0.3232,0,0,60,0,5,0,7.3
14,1947-03-01,589246929049,2332533157,23,46.1,41.34,0.3236,0,0,63,0,5,0,9.7
15,1947-04-01,592212962709,2335513232,23,46.1,41.27,0.3243,0,0,68,0,4,0,8
16,1947-05-01,595194950548,2338515867,23,46.1,41.21,0.3254,0,0,72,2,3,0,6
17,1947-06-01,598192645515,2341539063,23,46.1,41.15,0.3264,0,0,75,4,5,0,9.3
