month,date,worldGdp,worldPopulation,countriesInDebt,medianLegitimacy,medianStability,medianInfrastructure,activeWars,totalFlips,rivalPairs,allyRecords,llmActionsApplied,llmActionsRejected,llmSeconds
0,1946-01-01,549437244724,2294863082,0,46.1,40.94,0.317,0,0,0,0,0,0,0
1,1946-02-01,552277475965,2297560620,0,46.1,41.2,0.3163,0,0,0,0,6,0,9.9
2,1946-03-01,555002035436,2299818165,18,46.1,41.38,0.3176,0,0,0,0,4,0,9.8
3,1946-04-01,557750719832,2302175854,20,46.1,41.46,0.3187,0,0,0,0,5,0,10.5
4,1946-05-01,560522255936,2304633626,20,46.1,41.53,0.3189,0,0,0,0,5,0,9.5
5,1946-06-01,563315139669,2307194334,20,46.1,41.51,0.3194,0,0,0,0,4,0,9.4
6,1946-07-01,566127681543,2309816911,21,46.1,41.38,0.3202,0,0,6,0,4,0,9.5
7,1946-08-01,568958287889,2312498449,21,46.1,41.27,0.3199,0,0,27,0,4,0,10.3
8,1946-09-01,571806719035,2315235066,21,46.1,41.16,0.3206,0,0,39,0,4,0,8.6
9,1946-10-01,574672286853,2318022627,21,46.1,41.08,0.3213,0,0,50,0,4,0,9.6
10,1946-11-01,577554432361,2320855656,21,46.1,41.23,0.3221,0,0,51,0,5,0,9.6
11,1946-12-01,580453262329,2323722296,22,46.1,41.37,0.3226,0,0,52,0,5,0,8.6
12,1947-01-01,583368416820,2326619792,22,46.1,41.5,0.3229,0,0,55,0,4,0,9.7
13,1947-02-01,586300992221,2329547363,22,46.1,41.42,0.3232,0,0,57,0,3,0,9
14,1947-03-01,589250639416,2332501410,23,46.1,41.34,0.3236,0,0,60,0,4,0,9.4
15,1947-04-01,592216657370,2335479458,23,46.1,41.27,0.3243,0,0,66,0,5,0,9.9
16,1947-05-01,595198628398,2338480047,23,46.1,41.21,0.3254,0,0,71,2,5,0,8.3
17,1947-06-01,598196305532,2341501176,23,46.1,41.15,0.3264,0,0,74,4,3,0,8.2
18,1947-07-01,601209472427,2344541702,23,46.1,41.1,0.3268,0,0,76,4,5,0,8
19,1947-08-01,604237940223,2347599926,23,46.1,41.06,0.3281,0,0,76,6,2,1,8.4
20,1947-09-01,607281544983,2350674635,23,46.1,41.01,0.3295,0,0,77,6,4,0,6.9
21,1947-10-01,610340145861,2353764742,23,46.1,40.98,0.331,0,0,79,6,3,2,10
22,1947-11-01,613413622120,2356869699,23,46.1,40.96,0.3318,0,0,79,6,4,0,9.7
23,1947-12-01,616501871116,2359984824,23,46.1,40.99,0.333,0,0,81,6,4,0,8.3
24,1948-01-01,619604806558,2363110736,23,46.1,41.02,0.3343,0,0,81,6,4,0,8.6
25,1948-02-01,622722356156,2366248772,23,46.1,40.87,0.3356,0,0,81,6,6,0,9
26,1948-03-01,625854465400,2369399120,23,46.1,40.85,0.3367,0,0,82,6,4,0,9.2
27,1948-04-01,629001084596,2372561834,23,46.1,40.83,0.3377,0,0,83,6,5,0,9.5
28,1948-05-01,632162177973,2375736468,23,46.1,40.82,0.3397,0,0,83,6,3,1,7.9
29,1948-06-01,635337719689,2378922254,23,46.1,40.88,0.3411,0,0,84,6,4,0,7.9
30,1948-07-01,638527692663,2382117842,22,46.1,40.8,0.3416,0,0,85,6,4,1,10.2
31,1948-08-01,641732087752,2385323343,22,46.1,40.8,0.3419,0,0,86,6,5,0,9.3
32,1948-09-01,644951948364,2388539018,22,46.1,40.79,0.3425,0,0,87,6,4,0,9.1
33,1948-10-01,648186524863,2391764959,22,46.1,40.79,0.3434,0,0,87,6,5,0,8.2
34,1948-11-01,651435928596,2395000857,22,46.1,40.79,0.3448,0,0,87,6,4,0,10
35,1948-12-01,654700186308,2398246537,22,46.1,40.79,0.3451,0,0,89,6,2,0,9.2
36,1949-01-01,657979330028,2401501796,22,46.1,40.79,0.3453,0,0,89,6,4,0,8.6
37,1949-02-01,661273396510,2404766489,21,46.1,40.8,0.3458,0,0,89,6,5,0,9.4
38,1949-03-01,664582426202,2408040534,21,46.1,40.8,0.3464,0,0,89,6,5,0,10.9
39,1949-04-01,667906464343,2411323791,21,46.1,40.81,0.3482,0,0,89,6,5,0,9.3
40,1949-05-01,671245559907,2414616194,21,46.1,40.81,0.3492,0,0,89,6,4,0,8.7
41,1949-06-01,674599765287,2417917638,21,46.1,40.82,0.3493,0,0,89,6,4,0,8.7
42,1949-07-01,677969135894,2421228077,21,46.1,40.83,0.35,0,0,89,6,6,0,9
43,1949-08-01,681353729471,2424547422,21,46.1,40.84,0.3503,0,0,89,6,4,0,9.7
44,1949-09-01,684753607028,2427875668,21,46.1,40.85,0.3508,0,0,91,6,5,0,9.7
45,1949-10-01,688168832490,2431212722,21,46.1,40.86,0.3512,0,0,91,6,4,0,8.5
