month,date,worldGdp,worldPopulation,countriesInDebt,medianLegitimacy,medianStability,medianInfrastructure,activeWars,totalFlips,rivalPairs,allyRecords,llmActionsApplied,llmActionsRejected,llmSeconds
0,1946-01-01,548628972448,2294863064,0,46.1,41.11,0.321,0,0,0,0,0,0,0
1,1946-02-01,555210786450,2301129661,0,46.1,41.47,0.3219,0,0,0,0,6,0,8
2,1946-03-01,561156313847,2307493794,70,46.1,41.42,0.3228,0,0,0,0,5,0,8.3
3,1946-04-01,567266854170,2313970663,100,46.1,41.04,0.3237,0,0,0,0,6,0,8.2
4,1946-05-01,573534585066,2320557871,105,46.1,40.33,0.3246,0,0,0,0,4,0,7.8
5,1946-06-01,579947178006,2327246480,106,46.1,40.17,0.3254,0,0,0,0,0,3,8.4
6,1946-07-01,586478686760,2333968259,107,46.1,40.18,0.3266,0,0,0,0,5,0,7.9
7,1946-08-01,593103213399,2340721100,107,46.1,39.54,0.3278,0,0,0,0,4,0,7.8
8,1946-09-01,599827366598,2347502637,106,46.1,39.33,0.3292,0,0,0,0,6,0,10
9,1946-10-01,606666260212,2354306791,106,46.1,39.19,0.3307,0,0,1,0,5,0,6.5
10,1946-11-01,613609485158,2361127179,105,46.1,39.06,0.3322,0,0,1,0,7,0,9.8
11,1946-12-01,620654635320,2367966002,105,46.1,38.95,0.3335,0,0,1,0,6,0,9
12,1947-01-01,627803375451,2374823055,105,46.1,38.85,0.334,0,0,1,0,7,0,7.5
13,1947-02-01,635055693741,2381699756,105,46.1,38.76,0.3356,0,0,1,0,6,0,7.6
14,1947-03-01,642406285478,2388596912,103,46.1,38.68,0.3371,0,0,1,0,9,1,6.8
15,1947-04-01,649853652593,2395517707,103,46.1,38.62,0.3386,0,0,1,0,9,0,10.5
16,1947-05-01,657396347807,2402462449,103,46.1,38.56,0.3396,0,0,1,0,7,0,8.2
17,1947-06-01,665034231831,2409433038,102,46.1,38.5,0.3403,0,0,1,0,6,0,7.6
18,1947-07-01,672763419570,2416433648,102,46.1,38.46,0.3405,0,0,1,0,6,0,7
19,1947-08-01,680582775329,2423465781,102,46.1,38.42,0.3417,0,0,1,0,5,0,8.1
20,1947-09-01,688488550004,2430529720,101,46.1,38.39,0.3421,0,0,1,0,7,0,7.7
21,1947-10-01,696475650702,2437625771,100,46.1,38.36,0.3435,0,0,2,0,6,0,8.4
22,1947-11-01,704544928424,2444754332,100,46.1,38.34,0.3442,0,0,2,0,6,0,7.7
23,1947-12-01,712696862855,2451915714,99,46.1,38.32,0.3447,0,0,2,0,5,0,7.5
24,1948-01-01,720932098872,2459110262,99,46.1,38.47,0.3454,0,0,2,0,6,0,10.2
