month,date,worldGdp,worldPopulation,countriesInDebt,medianLegitimacy,medianStability,medianInfrastructure,activeWars,totalFlips,rivalPairs,allyRecords,llmActionsApplied,llmActionsRejected,llmSeconds
0,1946-01-01,548628972448,2294863064,0,46.1,41.11,0.321,0,0,0,0,0,0,0
1,1946-02-01,555210786450,2301129661,0,46.1,41.47,0.3219,0,0,1,0,8,0,4.1
2,1946-03-01,561156313847,2307493794,70,46.1,41.42,0.3228,0,0,1,0,6,0,8.1
3,1946-04-01,567266854170,2313970663,99,46.1,41.04,0.3237,0,0,1,0,5,0,9.2
4,1946-05-01,573534588080,2320557871,104,46.1,40.33,0.3246,0,0,1,0,6,0,7.8
5,1946-06-01,579947190591,2327246480,105,46.1,40.17,0.3254,0,0,1,0,6,0,8.8
6,1946-07-01,586478714704,2333968259,106,46.1,40.18,0.3266,0,0,1,0,7,0,9.1
7,1946-08-01,593103261803,2340720082,106,46.1,39.54,0.3278,0,0,1,0,5,0,9.3
8,1946-09-01,599827439926,2347500651,106,46.1,39.33,0.3292,0,0,1,0,6,0,8.3
9,1946-10-01,606666251587,2354303885,106,46.1,39.19,0.3307,0,0,2,0,8,0,8.7
10,1946-11-01,613609384986,2361123395,106,46.1,39.06,0.3322,0,0,2,0,6,0,8.1
11,1946-12-01,620654401370,2367961385,106,46.1,38.95,0.3335,0,0,2,0,6,0,8.2
12,1947-01-01,627802860695,2374817506,106,46.1,38.85,0.334,0,0,2,0,7,0,8.8
13,1947-02-01,635054789943,2381693184,106,46.1,38.76,0.3356,0,0,2,0,7,0,6.9
14,1947-03-01,642404897899,2388589232,104,46.1,38.68,0.3371,0,0,2,0,6,0,7.6
15,1947-04-01,649851746902,2395508953,104,46.1,38.62,0.3386,0,0,2,0,8,0,8.3
16,1947-05-01,657393966706,2402452662,104,46.1,38.56,0.3396,0,0,2,0,5,0,8
17,1947-06-01,665031467676,2409422255,103,46.1,38.5,0.3403,0,0,3,0,7,0,8.7
18,1947-07-01,672760291771,2416421864,103,46.1,38.46,0.3405,0,0,3,0,7,0,8.2
19,1947-08-01,680579281284,2423452995,103,46.1,38.42,0.3417,0,0,3,0,6,0,9
20,1947-09-01,688484687127,2430515935,103,46.1,38.39,0.3421,0,0,3,0,5,0,7
21,1947-10-01,696471416390,2437610987,102,46.1,38.36,0.3435,0,0,4,0,10,0,7.4
22,1947-11-01,704540349876,2444738548,102,46.1,38.34,0.3442,0,0,4,0,5,0,6.5
23,1947-12-01,712691984867,2451898930,100,46.1,38.32,0.3447,0,0,5,0,10,0,8.4
24,1948-01-01,720926963952,2459092475,100,46.1,38.47,0.3454,0,0,5,0,7,0,8.1
