month,date,worldGdp,worldPopulation,countriesInDebt,medianLegitimacy,medianStability,medianInfrastructure,activeWars,totalFlips,rivalPairs,allyRecords,llmActionsApplied,llmActionsRejected,llmSeconds
0,1946-01-01,549437244724,2294863082,0,46.1,40.94,0.317,0,0,0,0,0,0,0
1,1946-02-01,552277475965,2297560620,0,46.1,41.2,0.3163,0,0,1,0,5,0,16.4
2,1946-03-01,555002035436,2299798695,18,46.1,41.38,0.3176,0,0,1,0,3,1,15.8
3,1946-04-01,557750719832,2302116945,20,46.1,41.45,0.3187,0,0,1,0,5,1,18.6
4,1946-05-01,560522255306,2304513901,19,46.1,41.5,0.3189,0,0,1,0,6,1,22.8
5,1946-06-01,563315137953,2306991908,19,46.1,41.51,0.3194,0,0,1,0,2,0,19.5
6,1946-07-01,566127678407,2309530940,20,46.1,41.38,0.3202,0,0,6,0,0,0,3.1
7,1946-08-01,568958865815,2312128164,20,46.1,41.27,0.3199,0,0,27,0,0,0,0.1
8,1946-09-01,571807273495,2314779741,20,46.1,41.16,0.3206,0,0,39,0,0,0,0.1
9,1946-10-01,574672169572,2317481738,20,46.1,41.2,0.3213,0,0,50,0,0,0,0.1
10,1946-11-01,577552965513,2320228705,20,46.1,41.39,0.3221,0,0,51,0,0,0,0.1
11,1946-12-01,580449736376,2323008805,21,46.1,41.55,0.3226,0,0,53,0,0,0,0.1
12,1947-01-01,583364689571,2325819318,21,46.1,41.5,0.3229,0,0,56,0,0,0,0.1
