month,date,worldGdp,worldPopulation,countriesInDebt,medianLegitimacy,medianStability,medianInfrastructure,activeWars,totalFlips,rivalPairs,allyRecords,llmActionsApplied,llmActionsRejected,llmSeconds
0,1946-01-01,549437244724,2294863082,0,46.1,40.94,0.317,0,0,0,0,0,0,0
1,1946-02-01,552277475965,2297560620,0,46.1,41.2,0.3163,0,0,0,0,4,0,42.4
2,1946-03-01,555002035436,2299820822,18,46.1,41.38,0.3176,0,0,0,0,6,0,15.6
3,1946-04-01,557750719832,2302183883,20,46.1,41.45,0.3187,0,0,0,0,5,1,57.4
4,1946-05-01,560522256539,2304649758,20,46.1,41.5,0.3189,0,0,0,0,5,0,20.1
5,1946-06-01,563315141552,2307221216,20,46.1,41.51,0.3194,0,0,0,0,4,0,18.6
6,1946-07-01,566127685475,2309856087,21,46.1,41.38,0.3202,0,0,5,0,4,0,13.4
7,1946-08-01,568958877491,2312551462,21,46.1,41.27,0.3199,0,0,28,0,4,0,23.1
8,1946-09-01,571807290531,2315303431,21,46.1,41.16,0.3206,0,0,38,0,4,0,16.5
9,1946-10-01,574672192320,2318108017,21,46.1,41.2,0.3213,0,0,49,0,4,0,18.8
10,1946-11-01,577552978576,2320959751,21,46.1,41.32,0.3221,0,0,50,0,4,0,22.8
11,1946-12-01,580449724207,2323845139,22,46.1,41.22,0.3226,0,0,51,0,5,0,38.1
12,1947-01-01,583364652056,2326761433,22,46.1,41.12,0.3229,0,0,54,0,4,0,19.3
13,1947-02-01,586297239390,2329707854,22,46.1,41.04,0.3232,0,0,56,0,5,0,54.2
14,1947-03-01,589246900311,2332680794,23,46.1,40.96,0.3236,0,0,59,0,6,0,36.7
15,1947-04-01,592212933757,2335677769,23,46.1,40.89,0.3243,0,0,65,0,0,0,32.9
16,1947-05-01,595194921760,2338697323,23,46.1,40.82,0.3254,0,0,70,2,0,0,15.8
17,1947-06-01,598192617247,2341737469,23,46.1,40.81,0.3264,0,0,73,4,0,0,14.1
18,1947-07-01,601205803775,2344796796,23,46.1,40.84,0.3268,0,0,75,4,5,0,18.7
19,1947-08-01,604234292299,2347873065,23,46.1,40.87,0.3281,0,0,75,6,4,0,127.7
20,1947-09-01,607277918854,2350965470,23,46.1,40.9,0.3295,0,0,76,6,5,0,14.4
21,1947-10-01,610336542373,2354073313,23,46.1,40.91,0.331,0,0,78,6,5,0,17.1
22,1947-11-01,613410041993,2357196040,23,46.1,40.85,0.3318,0,0,78,6,4,0,19.2
23,1947-12-01,616498315038,2360332380,23,46.1,40.8,0.333,0,0,80,6,0,0,300.2
24,1948-01-01,619601275183,2363481541,23,46.1,40.75,0.3343,0,0,80,6,4,0,58.3
