month,date,worldGdp,worldPopulation,countriesInDebt,medianLegitimacy,medianStability,medianInfrastructure,activeWars,totalFlips,rivalPairs,allyRecords,llmActionsApplied,llmActionsRejected,llmSeconds
0,1946-01-01,549437244724,2294863082,0,46.1,40.94,0.317,0,0,0,0,0,0,0
1,1946-02-01,552277475965,2297560620,0,46.1,41.2,0.3163,0,0,0,0,5,0,12
2,1946-03-01,555002035436,2299823184,18,46.1,41.38,0.3176,0,0,0,0,0,0,3
3,1946-04-01,557750719832,2302189983,20,46.1,41.45,0.3187,0,0,0,0,0,0,0.1
4,1946-05-01,560522256114,2304661128,20,46.1,41.5,0.3189,0,0,0,0,0,0,0.1
5,1946-06-01,563315422652,2307239028,20,46.1,41.51,0.3194,0,0,0,0,0,0,0.1
6,1946-07-01,566128665386,2309880796,21,46.1,41.38,0.3202,0,0,5,0,0,0,0.1
7,1946-08-01,568960919571,2312583485,21,46.1,41.27,0.3199,0,0,26,0,0,0,0.1
8,1946-09-01,571809410765,2315343169,21,46.1,41.16,0.3206,0,0,38,0,0,0,0.1
9,1946-10-01,574673420816,2318155871,21,46.1,41.08,0.3213,0,0,49,0,0,0,0.1
10,1946-11-01,577552363182,2321016098,21,46.1,41.24,0.3221,0,0,50,0,0,0,0.1
11,1946-12-01,580447052888,2323910147,22,46.1,41.39,0.3226,0,0,52,0,0,0,0.1
12,1947-01-01,583359919596,2326835226,22,46.1,41.5,0.3229,0,0,55,0,0,0,0.1
13,1947-02-01,586290456603,2329790550,22,46.1,41.42,0.3232,0,0,57,0,0,0,0.1
14,1947-03-01,589238079867,2332772606,23,46.1,41.34,0.3236,0,0,60,0,4,1,50.5
15,1947-04-01,592202090001,2335778912,23,46.1,41.27,0.3243,0,0,66,0,0,0,11.5
16,1947-05-01,595182070933,2338807960,23,46.1,41.26,0.3254,0,0,71,2,0,0,0.1
17,1947-06-01,598177777172,2341857791,23,46.1,41.33,0.3264,0,0,74,4,0,0,0.1
18,1947-07-01,601188993775,2344927150,23,46.1,41.32,0.3268,0,0,76,4,0,0,0.1
19,1947-08-01,604215533177,2348014329,23,46.1,41.06,0.3281,0,0,76,6,0,0,0.1
20,1947-09-01,607257232876,2351118108,23,46.1,41.01,0.3295,0,0,78,6,0,0,0.1
21,1947-10-01,610313953349,2354237327,23,46.1,40.98,0.331,0,0,81,6,0,0,0.1
22,1947-11-01,613385575128,2357371431,23,46.1,40.94,0.3318,0,0,81,6,0,0,0.1
23,1947-12-01,616472474337,2360519141,23,46.1,40.92,0.333,0,0,84,6,0,0,0.1
24,1948-01-01,619577702624,2363679672,23,46.1,40.89,0.3343,0,0,84,6,0,0,0.1
