month,date,worldGdp,worldPopulation,countriesInDebt,medianLegitimacy,medianStability,medianInfrastructure,activeWars,totalFlips,rivalPairs,allyRecords,llmActionsApplied,llmActionsRejected,llmSeconds
0,1946-01-01,548628972448,2294863064,0,46.1,41.11,0.321,0,0,0,0,0,0,0
1,1946-02-01,551462506989,2297549314,0,46.1,41.47,0.3219,0,0,0,0,5,0,9.3
2,1946-03-01,553834939247,2300307516,71,46.1,41.42,0.3229,0,0,0,0,6,0,8.2
3,1946-04-01,556293306827,2303146308,100,46.1,41.04,0.3238,0,0,1,0,5,0,7.9
4,1946-05-01,558839252805,2306064202,105,46.1,40.32,0.3246,0,0,1,0,4,0,9.3
5,1946-06-01,561463273839,2309053313,106,46.1,40.16,0.3255,0,0,1,0,5,0,8.5
6,1946-07-01,564153471534,2312054851,107,46.1,40.17,0.3267,0,0,1,0,5,0,7.3
7,1946-08-01,566871476135,2315066070,108,46.1,39.53,0.3279,0,0,1,0,4,0,8.7
8,1946-09-01,569615910024,2318085809,108,46.1,39.31,0.3293,0,0,1,0,5,0,7.7
9,1946-10-01,572387638702,2321108962,107,46.1,39.16,0.3308,0,0,2,0,7,0,8.7
10,1946-11-01,575184568891,2324129784,107,46.1,39.03,0.3322,0,0,2,0,6,0,10.5
11,1946-12-01,578000998599,2327147677,106,46.1,38.91,0.3336,0,0,2,0,5,0,9.6
12,1947-01-01,580837731199,2330161384,106,46.1,38.8,0.3342,0,0,2,0,2,2,8.5
