month,date,worldGdp,worldPopulation,countriesInDebt,medianLegitimacy,medianStability,medianInfrastructure,activeWars,totalFlips,rivalPairs,allyRecords,llmActionsApplied,llmActionsRejected,llmSeconds
0,1946-01-01,548628972448,2294863064,0,46.1,41.11,0.321,0,0,0,0,0,0,0
1,1946-02-01,554425383252,2300597574,0,46.1,41.67,0.3216,0,0,0,0,5,4,10.9
2,1946-03-01,560043483967,2306413255,29,46.1,41.83,0.322,0,0,0,0,8,5,14.3
3,1946-04-01,565750199272,2312320338,45,46.1,41.55,0.3223,0,0,0,0,0,4,8.5
4,1946-05-01,571532352029,2318317114,63,46.1,41.12,0.3224,0,0,2,0,6,7,14.8
5,1946-06-01,577368593800,2324391375,67,46.1,41.2,0.3224,0,0,3,0,8,8,14.9
6,1946-07-01,583230891518,2330475935,69,46.1,41.41,0.3234,0,0,3,0,0,4,8.2
7,1946-08-01,589121584340,2336570122,69,46.1,41.08,0.3241,0,0,3,0,2,3,8.6
8,1946-09-01,595038127075,2342668237,66,46.1,41.01,0.3243,0,0,3,0,2,3,9.2
9,1946-10-01,600979053287,2348762261,64,46.1,41.07,0.3249,0,0,4,0,2,2,8.8
10,1946-11-01,606943154399,2354852549,61,46.1,41.14,0.3251,0,0,4,0,2,4,10.4
11,1946-12-01,612929970482,2360939088,55,46.1,41.22,0.3252,0,0,4,0,2,2,7.6
12,1947-01-01,618938897596,2367025380,50,46.1,41.31,0.3254,0,0,4,0,5,3,10.5
