month,date,worldGdp,worldPopulation,countriesInDebt,medianLegitimacy,medianStability,medianInfrastructure,activeWars,totalFlips,rivalPairs,allyRecords,llmActionsApplied,llmActionsRejected,llmSeconds
0,1946-01-01,548628972448,2294863064,0,46.1,41.11,0.321,0,0,0,0,0,0,0
1,1946-02-01,554425383252,2300597574,0,46.1,41.67,0.3216,0,0,0,0,5,7,11.6
2,1946-03-01,560043483967,2306413255,29,46.1,41.83,0.322,0,0,0,0,7,2,10.3
3,1946-04-01,565750199272,2312320338,45,46.1,41.55,0.3223,0,0,0,0,1,5,9.1
4,1946-05-01,571532352029,2318317114,63,46.1,41.12,0.3224,0,0,0,0,1,5,9.1
5,1946-06-01,577368593800,2324391375,67,46.1,41.2,0.3224,0,0,0,0,1,6,9.5
6,1946-07-01,583230891518,2330475935,69,46.1,41.41,0.3234,0,0,0,0,2,4,9.6
7,1946-08-01,589121584340,2336570122,69,46.1,41.08,0.3241,0,0,0,0,3,4,9.4
8,1946-09-01,595038127075,2342668237,66,46.1,41.01,0.3243,0,0,0,0,2,2,8.7
9,1946-10-01,600979053287,2348762261,64,46.1,41.07,0.3249,0,0,1,0,0,3,6.7
10,1946-11-01,606943154399,2354852549,61,46.1,41.14,0.3251,0,0,1,0,0,2,6.2
11,1946-12-01,612929970482,2360939088,55,46.1,41.22,0.3252,0,0,1,0,3,4,9.5
12,1947-01-01,618938897596,2367025380,50,46.1,41.31,0.3254,0,0,1,0,3,6,10.9
13,1947-02-01,624969051466,2373113333,47,46.1,41.41,0.3247,0,0,1,0,1,3,9.1
14,1947-03-01,631020541530,2379204231,43,46.1,41.44,0.3252,0,0,2,0,7,3,11.1
15,1947-04-01,637093417775,2385302853,42,46.1,41.44,0.3255,0,0,2,0,6,6,13.1
16,1947-05-01,643187789565,2391409605,40,46.1,41.47,0.3256,0,0,2,0,4,3,10.7
17,1947-06-01,649303532977,2397524759,36,46.1,41.55,0.3267,0,0,2,0,3,6,11.6
18,1947-07-01,655440574611,2403648573,34,46.1,41.65,0.3268,0,0,2,0,4,3,11.3
19,1947-08-01,661599017233,2409781290,33,46.1,41.78,0.3266,0,0,2,0,0,2,7.3
20,1947-09-01,667778949411,2415923125,31,46.1,42.2,0.3267,0,0,3,0,6,4,11.5
21,1947-10-01,673980437000,2422074315,30,46.1,42.43,0.3265,0,0,4,0,10,7,15.1
22,1947-11-01,680203520854,2428235167,29,46.1,42.57,0.3268,0,0,4,0,4,3,10.5
23,1947-12-01,686448246759,2434405811,29,46.1,42.71,0.3265,0,0,4,0,6,5,12.4
24,1948-01-01,692714731051,2440586535,29,46.1,42.97,0.3262,0,0,4,0,5,3,10.8
