month,date,worldGdp,worldPopulation,countriesInDebt,medianLegitimacy,medianStability,medianInfrastructure,activeWars,totalFlips,rivalPairs,allyRecords,llmActionsApplied,llmActionsRejected,llmSeconds
0,1946-01-01,549437244724,2294863082,0,46.1,40.94,0.317,0,0,0,0,0,0,0
1,1946-02-01,552277475965,2297560620,0,46.1,41.2,0.3163,0,0,0,0,5,0,20.6
2,1946-03-01,555002035436,2299824700,18,46.1,41.38,0.3176,0,0,2,0,6,0,20.7
3,1946-04-01,557750719832,2302195131,20,46.1,41.45,0.3187,0,0,2,0,7,0,16.3
4,1946-05-01,560522257173,2304672020,20,46.1,41.5,0.3189,0,0,2,0,4,0,23.4
5,1946-06-01,563315143596,2307258149,20,46.1,41.51,0.3194,0,0,2,0,6,0,26.2
6,1946-07-01,566127689834,2309907872,21,46.1,41.38,0.3202,0,0,8,0,5,0,16.4
7,1946-08-01,568958885262,2312618231,21,46.1,41.27,0.3199,0,0,29,0,6,0,32.1
8,1946-09-01,571807302444,2315385312,21,46.1,41.16,0.3206,0,0,41,0,6,0,28.6
9,1946-10-01,574672208741,2318205158,21,46.1,41.08,0.3213,0,0,52,0,5,0,13.5
10,1946-11-01,577552999252,2321072262,21,46.1,41.24,0.3221,0,0,53,0,5,0,19.7
11,1946-12-01,580449748976,2323973161,22,46.1,41.39,0.3226,0,0,56,0,6,0,22.3
12,1947-01-01,583364681058,2326905088,22,46.1,41.5,0.3229,0,0,59,0,5,0,24.5
13,1947-02-01,586297272743,2329867260,22,46.1,41.42,0.3232,0,0,60,0,8,0,23.1
14,1947-03-01,589246938109,2332856058,23,46.1,41.34,0.3236,0,0,63,0,6,0,25
15,1947-04-01,592212975971,2335869024,23,46.1,41.27,0.3243,0,0,69,0,5,0,16.3
16,1947-05-01,595194968507,2338904651,23,46.1,41.26,0.3254,0,0,74,2,5,0,24.8
17,1947-06-01,598192668603,2341960960,23,46.1,41.33,0.3264,0,0,77,2,7,0,23.1
18,1947-07-01,601205859772,2345036802,23,46.1,41.32,0.3268,0,0,79,4,6,0,11
19,1947-08-01,604234352954,2348130282,23,46.1,41.3,0.328,0,0,79,6,7,0,18.8
20,1947-09-01,607277984232,2351240048,23,46.1,41.28,0.3295,0,0,81,6,9,0,24
21,1947-10-01,610336612667,2354365110,23,46.1,41.27,0.331,0,0,83,6,6,0,16.6
22,1947-11-01,613410117442,2357505169,23,46.1,41.25,0.3318,0,0,83,6,6,0,38.2
23,1947-12-01,616498395862,2360658931,23,46.1,41.24,0.333,0,0,84,6,7,0,74.6
24,1948-01-01,619601367744,2363825634,23,46.1,41.24,0.3343,0,0,84,6,6,0,19.6
25,1948-02-01,622718960050,2367004615,23,46.1,41.23,0.3356,0,0,84,6,6,0,16
26,1948-03-01,625851110455,2370196053,23,46.1,41.08,0.3367,0,0,85,6,6,0,22.6
27,1948-04-01,628997772589,2373399972,23,46.1,40.85,0.3377,0,0,85,6,6,0,25.9
28,1948-05-01,632158910593,2376615344,23,46.1,40.82,0.3397,0,0,85,6,7,0,24.9
29,1948-06-01,635334498553,2379841743,23,46.1,40.88,0.3411,0,0,86,6,8,0,24.5
30,1948-07-01,638524519329,2383079336,22,46.1,40.8,0.3416,0,0,86,6,0,0,5.5
31,1948-08-01,641728963736,2386327791,22,46.1,40.8,0.3419,0,0,88,6,4,0,104.3
32,1948-09-01,644947828990,2389586805,22,46.1,40.79,0.3425,0,0,89,6,7,0,24.5
33,1948-10-01,648181118530,2392855484,22,46.1,40.79,0.3434,0,0,89,6,6,0,23
34,1948-11-01,651433282664,2396133566,22,46.1,40.85,0.3448,0,0,89,6,0,0,17.4
35,1948-12-01,654700144496,2399421517,22,46.1,40.93,0.3451,0,0,91,6,5,0,22.2
36,1949-01-01,657981888399,2402719205,22,46.1,41.01,0.3453,0,0,92,6,7,0,23.1
37,1949-02-01,661278698036,2406026463,21,46.1,41.09,0.3458,0,0,92,6,5,0,31
38,1949-03-01,664590758418,2409343170,21,46.1,41.16,0.3464,0,0,92,6,5,0,55.4
39,1949-04-01,667918257296,2412669188,21,46.1,41.24,0.3482,0,0,92,6,6,0,38.6
40,1949-05-01,671261379502,2416004446,21,46.1,41.3,0.3492,0,0,93,6,7,0,17.8
41,1949-06-01,674619750515,2419348844,21,46.1,41.31,0.3493,0,0,93,6,5,0,14
42,1949-07-01,677992819009,2422702339,21,46.1,41.32,0.35,0,0,93,6,5,0,17.2
43,1949-08-01,681380649849,2426064850,21,46.1,41.33,0.3503,0,0,93,6,7,0,19.5
44,1949-09-01,684783273295,2429436344,21,46.1,41.34,0.3507,0,0,94,6,6,0,55.6
45,1949-10-01,688200734166,2432816747,21,46.1,41.34,0.3512,0,0,94,6,7,0,18.5
46,1949-11-01,691632889568,2436206082,21,46.1,41.35,0.3516,0,0,95,6,8,0,20.1
47,1949-12-01,695084646662,2439604184,21,46.1,41.44,0.3517,0,0,95,6,8,0,22.3
48,1950-01-01,698551652203,2443011171,21,46.1,41.49,0.3534,0,0,95,6,7,0,16.1
49,1950-02-01,702033792690,2446427017,21,46.1,41.49,0.3536,0,0,95,6,6,0,16.9
50,1950-03-01,705530547895,2449851731,20,46.1,41.5,0.3538,0,0,96,6,6,0,13.9
51,1950-04-01,709040822497,2453285311,19,46.1,41.5,0.3541,0,0,96,8,3,0,18.4
52,1950-05-01,712568451706,2456727679,19,46.1,41.51,0.3548,0,0,96,10,8,0,34.5
53,1950-06-01,716111464479,2460178934,19,46.1,41.52,0.3562,0,0,96,14,5,0,19.6
54,1950-07-01,719669905262,2463639146,19,46.1,41.52,0.356,0,0,98,16,5,0,20.6
55,1950-08-01,723243836219,2467108292,19,46.1,41.53,0.3571,0,0,97,26,6,0,29.2
56,1950-09-01,726833320336,2470586405,17,46.1,41.54,0.357,0,0,97,36,7,0,20.2
57,1950-10-01,730438776703,2474074123,17,46.1,41.54,0.357,0,0,97,40,5,0,31.8
58,1950-11-01,734060294280,2477571580,16,46.1,41.55,0.3576,0,0,97,44,6,0,12.2
59,1950-12-01,737697603719,2481078380,15,46.1,41.56,0.3577,0,0,97,44,7,0,20.9
60,1951-01-01,741350731669,2484594547,15,46.1,41.56,0.3583,0,0,97,46,6,0,31.6
