month,date,worldGdp,worldPopulation,countriesInDebt,medianLegitimacy,medianStability,medianInfrastructure,activeWars,totalFlips,rivalPairs,allyRecords,llmActionsApplied,llmActionsRejected,llmSeconds
0,1946-01-01,549437244724,2294863082,0,46.1,40.94,0.317,0,0,0,0,0,0,0
1,1946-02-01,552277475965,2297560620,0,46.1,41.2,0.3163,0,0,0,0,4,0,13.4
2,1946-03-01,555002035436,2299816295,18,46.1,41.38,0.3176,0,0,0,0,4,0,9
3,1946-04-01,557750719832,2302168505,20,46.1,41.45,0.3187,0,0,0,0,3,0,8
4,1946-05-01,560522255408,2304617200,20,46.1,41.5,0.3189,0,0,0,0,4,0,8.3
5,1946-06-01,563315420574,2307165247,20,46.1,41.51,0.3194,0,0,0,0,4,0,8.9
6,1946-07-01,566128661252,2309775491,21,46.1,41.38,0.3202,0,0,6,0,4,0,8.2
7,1946-08-01,568960912659,2312445035,21,46.1,41.27,0.3199,0,0,27,0,3,0,7.2
8,1946-09-01,571809400169,2315169967,21,46.1,41.16,0.3206,0,0,39,0,0,0,2.5
9,1946-10-01,574673405498,2317946151,21,46.1,41.2,0.3213,0,0,50,0,5,0,9.1
10,1946-11-01,577552341767,2320768094,21,46.1,41.39,0.3221,0,0,51,0,4,0,10.6
11,1946-12-01,580447023684,2323623666,22,46.1,41.55,0.3226,0,0,53,0,0,0,6.5
12,1947-01-01,583359880610,2326510109,22,46.1,41.5,0.3229,0,0,56,0,4,0,9.7
13,1947-02-01,586290406189,2329426648,22,46.1,41.42,0.3232,0,0,58,0,5,0,18.4
14,1947-03-01,589238016525,2332369641,23,46.1,41.34,0.3236,0,0,61,0,5,0,8.8
15,1947-04-01,592202012466,2335336654,23,46.1,41.27,0.3243,0,0,67,0,4,0,7.8
16,1947-05-01,595181977837,2338326204,23,46.1,41.26,0.3254,0,0,72,2,4,0,8.2
17,1947-06-01,598177667301,2341336312,23,46.1,41.33,0.3264,0,0,75,4,6,0,8.8
18,1947-07-01,601188866052,2344365831,23,46.1,41.32,0.3268,0,0,77,4,6,0,8.2
19,1947-08-01,604215386603,2347413042,23,46.1,41.06,0.328,0,0,77,6,0,0,2.5
20,1947-09-01,607257066540,2350476742,23,46.1,41.01,0.3295,0,0,79,6,5,0,8.9
21,1947-10-01,610313766412,2353555840,23,46.1,40.98,0.331,0,0,82,6,0,0,13.1
22,1947-11-01,613385366813,2356649799,23,46.1,40.94,0.3318,0,0,83,6,6,0,8.7
23,1947-12-01,616471766404,2359757254,23,46.1,40.92,0.333,0,0,85,6,5,0,9.5
24,1948-01-01,619572880170,2362877419,23,46.1,40.89,0.3343,0,0,85,6,0,0,3.7
25,1948-02-01,622688637632,2366009655,23,46.1,40.87,0.3356,0,0,85,6,4,0,8.7
26,1948-03-01,625819685977,2369154134,23,46.1,40.85,0.3367,0,0,86,6,6,0,9.5
27,1948-04-01,628965935872,2372310909,23,46.1,40.83,0.3377,0,0,86,6,3,0,26.8
28,1948-05-01,632126883975,2375479622,23,46.1,40.82,0.3397,0,0,86,6,7,0,9
29,1948-06-01,635302512032,2378659095,23,46.1,40.81,0.3411,0,0,88,6,6,0,8
30,1948-07-01,638499096504,2381849038,22,46.1,40.8,0.3416,0,0,89,6,0,0,2.6
31,1948-08-01,641712515840,2385049136,22,46.1,40.8,0.3419,0,0,89,6,4,0,7.2
32,1948-09-01,644940642771,2388259653,22,46.1,40.79,0.3425,0,0,90,6,5,0,7.2
33,1948-10-01,648183491396,2391480410,22,46.1,40.79,0.3434,0,0,91,6,4,0,7.1
34,1948-11-01,651441080726,2394711115,22,46.1,40.79,0.3448,0,0,91,6,5,0,7.1
35,1948-12-01,654713435403,2397951578,22,46.1,40.83,0.3451,0,0,93,6,0,0,15.9
36,1949-01-01,658000585212,2401201676,22,46.1,40.99,0.3453,0,0,93,6,6,0,135.1
37,1949-02-01,661302564613,2404461245,21,46.1,41.16,0.3458,0,0,93,6,4,0,7.2
38,1949-03-01,664619411683,2407730150,21,46.1,41.28,0.3464,0,0,93,6,4,0,10.2
39,1949-04-01,667951168917,2411008241,21,46.1,41.29,0.3482,0,0,93,6,3,0,6.6
40,1949-05-01,671297882467,2414295474,21,46.1,41.3,0.3492,0,0,93,6,5,0,7.7
41,1949-06-01,674659435957,2417591733,21,46.1,41.31,0.3493,0,0,93,8,4,0,13.1
42,1949-07-01,678035758814,2420896972,21,46.1,41.32,0.35,0,0,93,8,0,0,2.6
43,1949-08-01,681426892556,2424211121,21,46.1,41.33,0.3503,0,0,92,8,6,0,7.6
44,1949-09-01,684832883211,2427534145,21,46.1,41.34,0.3508,0,0,92,8,5,0,7.9
45,1949-10-01,688252823355,2430865978,21,46.1,41.34,0.3512,0,0,92,8,0,0,12.7
46,1949-11-01,691686857220,2434207209,21,46.1,41.35,0.3516,0,0,92,8,3,0,6.2
47,1949-12-01,695134893257,2437557845,21,46.1,41.36,0.3517,0,0,92,8,0,0,10.5
48,1950-01-01,698597245035,2440917896,21,46.1,41.37,0.3534,0,0,92,8,5,0,9.2
49,1950-02-01,702078011557,2444286772,20,46.1,41.38,0.3536,0,0,92,8,3,0,9.5
50,1950-03-01,705574706364,2447664347,19,46.1,41.39,0.3538,0,0,93,8,3,0,14.9
51,1950-04-01,709086794722,2451050689,17,46.1,41.4,0.3541,0,0,94,10,3,0,22.3
52,1950-05-01,712614258418,2454445831,17,46.1,41.41,0.3548,0,0,95,12,3,0,31.8
53,1950-06-01,716156932189,2457849757,17,46.1,41.42,0.3562,0,0,95,18,4,0,10.3
54,1950-07-01,719713638079,2461262519,17,46.1,41.43,0.356,0,0,96,20,6,0,17.1
55,1950-08-01,723284212488,2464684113,17,46.1,41.44,0.3571,0,0,96,30,6,0,20.1
56,1950-09-01,726869176302,2468114567,15,46.1,41.45,0.357,0,0,96,40,3,0,7.6
57,1950-10-01,730473279195,2471553838,15,46.1,41.46,0.357,0,0,95,44,6,0,8.6
58,1950-11-01,734093113750,2475002082,14,46.1,41.47,0.3576,0,0,95,48,5,0,13.2
59,1950-12-01,737728753549,2478459496,13,46.1,41.48,0.3577,0,0,95,48,7,0,11.1
60,1951-01-01,741380266320,2481926170,13,46.1,41.48,0.3583,0,0,95,50,5,0,23.6
